"","year","entidad","idd","pp_gob","dim_1","dim_2","dim_3","dim_4","pp_izq"
"1",2010,"Aguascalientes",7.696,"pri",5.764,7.601,-0.161,0.478,"pp_otro"
"2",2010,"Baja California",6.515,"pan",4.346,4.87,0.822,1.544,"pp_otro"
"3",2010,"Baja California Sur",7.373,"prd",3.129,7.447,1.856,0.677,"pp_izq"
"4",2010,"Campeche",5.874,"pri",3.96,6.827,-0.582,0.239,"pp_otro"
"5",2010,"Chiapas",2.148,"prd",4.522,3.636,-1.631,-2.707,"pp_izq"
"6",2010,"Chihuahua",3.966,"pri",2.516,2.989,0.157,1.389,"pp_otro"
"7",2010,"Cdmx",9.78,"prd",6.157,7.403,0.434,3.394,"pp_izq"
"8",2010,"Coahuila",5.863,"pri",4.637,5.275,0.092,0.418,"pp_otro"
"9",2010,"Colima",10,"pri",7.272,7.1,1.907,1.499,"pp_otro"
"10",2010,"Durango",5.746,"pri",3.491,5.519,-0.933,2.138,"pp_otro"
"11",2010,"Guanajuato",7.482,"pan",8.25,6.897,-0.595,-1.25,"pp_otro"
"12",2010,"Guerrero",2.651,"prd",3.967,3.362,-1.069,-1.546,"pp_izq"
"13",2010,"Hidalgo",5.854,"pri",4.789,6.652,-0.866,-0.166,"pp_otro"
"14",2010,"Jalisco",5.722,"pan",5.171,4.732,0.297,-0.028,"pp_otro"
"15",2010,"Mexico",5.234,"pri",3.687,5.901,-0.36,0.077,"pp_otro"
"16",2010,"Michoacan",4.426,"prd",4.938,4.817,-0.691,-1.195,"pp_izq"
"17",2010,"Morelos",6.974,"pan",6.29,6.726,0.503,-1.121,"pp_otro"
"18",2010,"Nayarit",6.697,"pri",3.862,6.305,1.172,0.567,"pp_otro"
"19",2010,"Nuevo Leon",7.415,"pri",5.85,4.892,0.841,1.6,"pp_otro"
"20",2010,"Oaxaca",2.902,"mc",3.745,3.263,-0.358,-1.491,"pp_otro"
"21",2010,"Puebla",3.564,"pri",5.074,4.163,-0.736,-2.163,"pp_otro"
"22",2010,"Queretaro",5.282,"pri",5.022,5.261,-1.091,0.198,"pp_otro"
"23",2010,"Quintana Roo",6.019,"pri",3.871,5.825,0.282,0.723,"pp_otro"
"24",2010,"San Luis Potosi",6.028,"pri",5.798,5.946,-0.054,-0.974,"pp_otro"
"25",2010,"Sinaloa",5.077,"pri",3.336,4.51,0.794,0.386,"pp_otro"
"26",2010,"Sonora",6.592,"pan",4.763,5.498,0.693,0.766,"pp_otro"
"27",2010,"Tabasco",5.361,"pri",5.861,5.014,-0.936,-0.409,"pp_otro"
"28",2010,"Tamaulipas",7.204,"pri",5.782,5.755,0.363,0.907,"pp_otro"
"29",2010,"Tlaxcala",4.859,"pan",4.025,6.78,-0.658,-1.509,"pp_otro"
"30",2010,"Veracruz",3.988,"pri",5.565,1.927,0.082,-0.485,"pp_otro"
"31",2010,"Yucatan",7.176,"pri",6.966,6.256,0.547,-1.012,"pp_otro"
"32",2010,"Zacatecas",5.044,"prd",5.159,4.872,-0.121,-0.943,"pp_izq"
"33",2011,"Aguascalientes",9.610156337,"pri",6.708,7.087,-0.15,0.714,"pp_otro"
"34",2011,"Baja California",4.832170311,"pan",3.815,3.65,0.861,0.262,"pp_otro"
"35",2011,"Baja California Sur",9.569506155,"pan",5.651,6.538,1.419,0.708,"pp_otro"
"36",2011,"Campeche",7.01386419,"pri",8.95,4.034,-0.829,-0.745,"pp_otro"
"37",2011,"Chiapas",3.635083286,"prd",4.936,2.882,-0.934,-0.033,"pp_izq"
"38",2011,"Chihuahua",3.732778549,"pri",2.997,2.173,0.789,1.04,"pp_otro"
"39",2011,"Cdmx",9.917440764,"prd",6.691,5.021,0.403,2.571,"pp_izq"
"40",2011,"Coahuila",4.872835427,"pri",5.669,3.6,0.207,-0.833,"pp_otro"
"41",2011,"Colima",10,"pri",6.877,6.137,1.476,0.283,"pp_otro"
"42",2011,"Durango",4.848074829,"pri",4.16,4.496,-0.413,0.367,"pp_otro"
"43",2011,"Guanajuato",6.416884066,"pan",6.762,6.28,-0.768,-1.6,"pp_otro"
"44",2011,"Guerrero",3.115007917,"prd",5.947,1.76,-0.267,-1.399,"pp_izq"
"45",2011,"Hidalgo",7.202535142,"pri",5.162,5.853,0.214,0.406,"pp_otro"
"46",2011,"Jalisco",3.953378942,"pan",3.653,3.692,0.062,-0.078,"pp_otro"
"47",2011,"Mexico",3.341344424,"pri",3.69,3.351,-0.24,-0.403,"pp_otro"
"48",2011,"Michoacan",2.598163316,"prd",3.394,3.552,-0.506,-1.243,"pp_izq"
